id,brand,car_model,type,desc,problem,datetime,status
571409,长城汽车,哈弗H2s,2018款 1.5T 双离合 智尚型 蓝标,哈弗H2s油门踏板震动感明显要求解决,"A174,",2021-02-09,厂家受理
571408,北京现代,领动,2018款 1.6L 自动 15周年特别版,北京现代领动出现ABS和ESP故障灯亮,"E74,H202,H197,H118,",2021-02-09,信息审核
571403,上汽大众,桑塔纳,2016款 1.6L 手动 风尚版 三厢,上汽大众桑塔纳行驶时两前轮出现异响,"G125,",2021-02-09,厂家受理
571402,上汽通用五菱,五菱宏光,2016款 1.5L 尊享型 S1 国V,上汽通用五菱宏光变速箱无法换挡,"B20,",2021-02-09,处理反馈
571401,一汽-大众,探岳,2020款 280TSI 两驱 豪华智联版,一汽大众探岳行驶颠簸路段A柱有异响,"H15,",2021-02-09,信息审核
571400,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾行驶时变速箱底盘异响,"B33,G56,",2021-02-09,信息审核
571399,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉空调出风口翻板断裂,"H168,",2021-02-09,厂家受理
571398,北京现代,索纳塔,2016款 2.0L 自动 hybrid HE  智能型,北京现代索纳塔中间显示屏无法打开影响使用,"H134,",2021-02-09,信息审核
571394,上汽大众,Polo,2016款 1.6L 自动 舒适型,上汽大众Polo转向时方向盘明显卡滞异响,"D59,D123,",2021-02-09,厂家受理
571390,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机无法启动漏气漏防冻液,"A24,A44,A37,A178,I295,Q323,",2021-02-09,信息审核
571387,东风日产,天籁,2013款 2.0L XL 舒适版,东风日产天籁发动机烧机油 车内异味严重,"A63,H185,",2021-02-09,信息审核
571383,吉利汽车,帝豪GL,2021款 UP 1.4T CVT 领曜型,吉利帝豪GL中控触摸屏失灵影响正常使用,"H134,",2021-02-09,信息审核
571379,东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国VI,东风本田INSPIRE起步过程中刹车有异响,"E43,",2021-02-09,处理反馈
571376,华晨宝马,宝马X1,2018款 sDrive18Li 时尚型,华晨宝马X1发动机抖动异响机脚断裂,"A9,A24,A145,",2021-02-09,信息审核
571374,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾怠速时发动机有异响现象,"A9,",2021-02-09,信息审核
571373,东风标致,标致4008,2019款 360THP BLACKPACK黑曜版,东风标致4008车门边框漆面起皱起泡,"H81,",2021-02-09,厂家受理
571372,奇瑞汽车,艾瑞泽5,2020款 1.5L 手动 运动版,奇瑞艾瑞泽5打方向异响更换配件后没有解决,"D59,",2021-02-09,信息审核
571371,特斯拉（进口）,MODEL X,2016款 MODEL X 75D,特斯拉MODEL X购车时的承诺未兑现,"L313,",2021-02-09,信息审核
571370,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408轮毂氧化底盘异响 发动机烧机油,"A63,H243,",2021-02-09,厂家受理
571369,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL智享版,一汽丰田卡罗拉中控异响变速箱顿挫减震漏油,"B19,G25,H93,K307,",2021-02-09,信息审核
571367,奇瑞汽车,艾瑞泽GX,2019款 1.5T 自动 新劲色版 国VI,奇瑞艾瑞泽GX前挡风玻璃密封胶条开裂,"H48,",2021-02-09,信息审核
571365,长安福特,金牛座,2015款 325  V6旗舰型,长安福特金牛座保养到期不通知直接取消,"O296,",2021-02-09,厂家受理
571362,比亚迪,比亚迪F3,2020款 1.5L 手动 经典型,比亚迪F3前挡风玻璃开裂经销商不予索赔,"H113,I297,",2021-02-09,用户评分
571361,吉利新能源,帝豪新能源,2016款 EV 精英型 三厢,吉利帝豪新能源空调无暖风希望质保处理,"H101,",2021-02-09,信息审核
571359,奇瑞捷豹路虎,发现神行,2016款 2.0T 限量版,奇瑞路虎发现神行进气凸轮轴信号盘脱落,"A44,",2021-02-09,处理反馈
571357,沃尔沃亚太,沃尔沃S60,2020款 T4 智远运动版,沃尔沃亚太S60变速箱顿挫 排气共振异响,"B19,H31,",2021-02-09,信息审核
571356,上汽通用五菱,宝骏310W,2017款 1.5L 手动 豪华型 国V,宝骏310W高速踩刹车方向盘抖动发动机舱异响,"A9,D80,",2021-02-09,处理反馈
571355,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸发动机抖动报警希望得到处理,"A24,D265,E111,",2021-02-09,信息审核
571353,广汽丰田,凯美瑞,2018款 2.0G 自动 豪华版,广汽丰田凯美瑞发动机漏防冻液仪表台内异响,"A37,H93,",2021-02-09,信息审核
571350,广汽乘用车,传祺GS5,2019款 270T 自动 尊享版,广汽传祺GS5车门逐渐生锈腐烂工艺差,"H79,",2021-02-09,处理反馈
571349,众泰汽车,大迈X5,2017款 1.5T CVT 知县型 升级版,众泰大迈X5变速箱挂挡无法加速希望解决,"B334,",2021-02-09,信息审核
571348,广汽丰田,凯美瑞,2012款 凯美瑞·尊瑞 2.5 HG 自动 豪华版,广汽丰田凯美瑞前半轴防尘套出现漏油,"G161,",2021-02-09,信息审核
571345,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞4S店无法解决,"A114,",2021-02-09,信息审核
571343,长安福特,福睿斯,2017款 1.5L 手动 舒适型,长安福特福睿斯4S店维修导致中控屏黑屏死机,"H134,H155,",2021-02-09,厂家受理
571339,东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,东风日产骐达油箱晃动异响 处理后故障加重,"H147,J300,",2021-02-09,信息审核
571338,广汽本田,飞度,2007款 飞度型动派 1.3 CVT 舒适版,本田飞度冬季冷车行驶中D挡灯闪烁加速无力,"B96,B334,",2021-02-09,处理反馈
571335,一汽吉林,森雅R9,2018款 1.2T 自动 豪华智尚型,一汽森雅R9发动机变速箱故障灯亮转向沉重,"A34,D156,D291,E62,H170,O326,",2021-02-09,信息审核
571334,一汽-大众奥迪,奥迪Q5,2017款 Plus 40 TFSI 技术型,一汽大众奥迪Q5天窗异响多次维修未解决 ,"H89,",2021-02-09,信息审核
571333,吉利汽车,吉利ICON,2020款 300T DCT 银河限量版,吉利ICON主驾驶车门把手锁车无法收回,"H233,",2021-02-09,信息审核
571331,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁发动机机油增多超过上限,"A339,",2021-02-09,处理反馈
571329,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞内饰多处异装配工艺差,"H164,",2021-02-09,处理反馈
571326,北汽新能源,EV系列,2015款 EV200 轻快版,北汽新能源EV系列方向突然失灵导致事故,"D59,",2021-02-09,处理反馈
571325,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾大灯透镜有雾气且光线过暗,"H82,",2021-02-09,处理反馈
571322,猎豹汽车,猎豹CS9,2017款 1.5L CVT 精英型,猎豹CS9发动机水温高要求厂家尽快解决,"A191,",2021-02-09,信息审核
571320,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3转向管柱异响厂家拒绝更换,"D59,I297,",2021-02-09,厂家受理
571318,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领潮版,奇瑞艾瑞泽5后备箱通风与车身缝隙处漏水,"H79,",2021-02-09,信息审核
571316,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉低速变速箱异响顿挫,"B33,B19,",2021-02-09,信息审核
571313,上汽大众,凌渡,2017款 280TSI DSG 舒适版,上汽大众凌渡变速箱挡杆微动开关故障,"B96,B184,",2021-02-09,处理反馈
571311,东风本田,本田CR-V,2019款 锐·混动 2.0L 两驱 净速版 国VI,东风本田CR-V机油增多乳化厂家处理消极,"A339,A13,I295,",2021-02-09,处理反馈
571306,东风本田,本田CR-V,2021款 锐·混动 2.0L 两驱 净驰版,东风本田CR-V低速行驶时汽油箱有异响,"H147,",2021-02-09,信息审核
571305,东风日产,奇骏,2019款 2.0L CVT 智联舒适版 5座 2WD,东风日产奇骏悬挂中控异响 变速箱顿挫,"B19,G52,H93,",2021-02-09,信息审核
571303,长安汽车,长安CS35,2016款 1.6L 手动 豪华型 国IV,长安CS35漆面起泡脱落 车身生锈严重,"H79,H81,",2021-02-09,厂家受理
571302,长安福特,锐界,2016款 EcoBoost 245 两驱 豪锐型,长安福特锐界座椅生锈 厂家不予处理,"H79,I295,",2021-02-09,厂家受理
571301,广汽本田,皓影,2020款 240TURBO CVT 两驱 尊贵版,广汽本田皓影保险杠两侧开裂保险杠下沉明显,"H168,",2021-02-09,处理反馈
571299,长安汽车,奔奔E-Star,2020款 心动版,长安奔奔E-Star动力电池故障灯报警,"H343,",2021-02-09,处理反馈
571298,广汽丰田,YARiS L 致享,2017款 1.5E CVT 魅动版,广汽丰田致享加速时发动机有异响现象,"A9,",2021-02-09,信息审核
571295,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机缺缸要求厂家处理,"A34,",2021-02-09,信息审核
571292,广汽本田,飞度,2018款 1.5L CVT 舒适天窗版,广汽本田飞度车门漏水要求给予解决,"H109,",2021-02-09,处理反馈
571290,上汽大众,途观L新能源,2019款 430PHEV 混动豪华版,上汽大众途观L新能源无法充满电 变速箱漏油,"B22,H343,",2021-02-08,处理反馈
571283,一汽-大众,T-ROC探歌,2019款 230TSI DSG 两驱 进取型 国VI,一汽大众探歌发动机高压油泵异响,"A9,",2021-02-08,处理反馈
571282,上汽大众,辉昂,2016款 380TSI 两驱 御尊版,上汽大众辉昂变速箱起步抖动希望厂家解决,"B95,",2021-02-08,处理反馈
571280,一汽奔腾,奔腾X40,2017款 1.6L 自动 尊享型,一汽奔腾X40发动机抖动异响缺缸严重,"A9,A24,A163,",2021-02-08,处理反馈
571277,奇瑞汽车,捷途X70M,2020款 1.5T 手动 旅伴型,捷途X70M车辆多处配置与宣传不符要求解决,"M279,",2021-02-08,信息审核
571276,一汽丰田,威驰,2017款 1.5L 手动 创行版,一汽丰田威驰变速箱异响厂家未联系解决	,"B33,",2021-02-08,信息审核
571275,长安福特,福睿斯,2019款 1.5L 手动 质享型,长安福特福睿斯行驶时发动机和变速箱有异响,"A9,B33,",2021-02-08,厂家受理
571272,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,比亚迪宋Pro发动机故障灯亮驻车灯报警,"A34,",2021-02-08,用户评分
571271,吉利汽车,经典帝豪,2012款 1.5L 手动 超悦型 三厢,吉利经典帝豪严重撞击后安全气囊未打开,"H55,H118,",2021-02-08,信息审核
571269,吉利汽车,缤瑞,2019款 200T DCT 缤致版,吉利缤瑞左后轮玲珑轮胎出现2厘米长裂缝,"F100,",2021-02-08,厂家受理
571268,广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后有电机声音,"G125,",2021-02-08,处理反馈
571267,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向盘卡顿 变速箱漏油,"B22,D123,",2021-02-08,处理反馈
571263,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉冷却液消耗过快,"A37,",2021-02-08,用户评分
571261,宝马（进口）,宝马4系,2019款 425i M运动套装,进口宝马4系火花塞有机油售后未处理,"A12,",2021-02-08,处理反馈
